name,type,material,material_neutral,insulator,insulator_neutral,section,section_neutral,resistance,resistance_neutral,reactance,reactance_neutral,susceptance,susceptance_neutral,ampacity,ampacity_neutral
O_AM_28,overhead,am,am,,,28,28,1.2786648,1.2786648,0.3810134861,0.3810134861,0.0000030019,0.0000030019,130,130
O_AM_29,overhead,am,am,,,29,29,1.2400864,1.2400864,0.3799110598,0.3799110598,0.000003011,0.000003011,132,132
O_AM_33,overhead,am,am,,,33,33,1.0857728,1.0857728,0.3758517535,0.3758517535,0.000003045,0.000003045,142,142
O_AM_34,overhead,am,am,,,34,34,1.0471944,1.0471944,0.374913895,0.374913895,0.0000030529,0.0000030529,144,144
O_AM_37,overhead,am,am,,,37,37,0.9734461333,0.9734461333,0.3722574463,0.3722574463,0.0000030757,0.0000030757,152,152
O_AM_38,overhead,am,am,,,38,38,0.9558612,0.9558612,0.3714196387,0.3714196387,0.0000030829,0.0000030829,155,155
O_AM_40,overhead,am,am,,,40,40,0.9206913333,0.9206913333,0.3698082123,0.3698082123,0.0000030969,0.0000030969,160,160
O_AM_43,overhead,am,am,,,43,43,0.8679365333,0.8679365333,0.3675361917,0.3675361917,0.0000031169,0.0000031169,167,167
O_AM_48,overhead,am,am,,,48,48,0.7800118667,0.7800118667,0.3640804116,0.3640804116,0.0000031478,0.0000031478,180,180
O_AM_50,overhead,am,am,,,50,50,0.744842,0.744842,0.3627979509,0.3627979509,0.0000031595,0.0000031595,185,185
O_AM_54,overhead,am,am,,,54,54,0.6988268,0.6988268,0.3603801484,0.3603801484,0.0000031816,0.0000031816,193,193
O_AM_55,overhead,am,am,,,55,55,0.687323,0.687323,0.3598036933,0.3598036933,0.000003187,0.000003187,195,195
O_AM_59,overhead,am,am,,,59,59,0.6413078,0.6413078,0.3575981614,0.3575981614,0.0000032075,0.0000032075,203,203
O_AM_60,overhead,am,am,,,60,60,0.629804,0.629804,0.3570701502,0.3570701502,0.0000032125,0.0000032125,206,206
O_AM_69,overhead,am,am,,,69,69,0.5262698,0.5262698,0.3526793993,0.3526793993,0.0000032543,0.0000032543,224,224
O_AM_70,overhead,am,am,,,70,70,0.514766,0.514766,0.3522273638,0.3522273638,0.0000032587,0.0000032587,226,226
O_AM_74,overhead,am,am,,,74,74,0.49189784,0.49189784,0.3504815854,0.3504815854,0.0000032757,0.0000032757,232,232
O_AM_75,overhead,am,am,,,75,75,0.4861808,0.4861808,0.3500598888,0.3500598888,0.0000032798,0.0000032798,234,234
O_AM_79,overhead,am,am,,,79,79,0.46331264,0.46331264,0.3484275255,0.3484275255,0.0000032959,0.0000032959,240,240
O_AM_80,overhead,am,am,,,80,80,0.4575956,0.4575956,0.3480323514,0.3480323514,0.0000032999,0.0000032999,242,242
O_AM_90,overhead,am,am,,,90,90,0.4004252,0.4004252,0.3443320882,0.3443320882,0.000003337,0.000003337,258,258
O_AM_93,overhead,am,am,,,93,93,0.38327408,0.38327408,0.3433019655,0.3433019655,0.0000033475,0.0000033475,263,263
O_AM_95,overhead,am,am,,,95,95,0.37184,0.37184,0.3426335163,0.3426335163,0.0000033543,0.0000033543,266,266
O_AM_100,overhead,am,am,,,100,100,0.3562692,0.3562692,0.3410220899,0.3410220899,0.000003371,0.000003371,276,276
O_AM_116,overhead,am,am,,,116,116,0.30644264,0.30644264,0.336359338,0.336359338,0.00000342,0.00000342,310,310
O_AM_117,overhead,am,am,,,117,117,0.30332848,0.30332848,0.3360896717,0.3360896717,0.0000034229,0.0000034229,312,312
O_AM_120,overhead,am,am,,,120,120,0.293986,0.293986,0.3352942893,0.3352942893,0.0000034314,0.0000034314,318,318
O_AM_147,overhead,am,am,,,147,147,0.2448334,0.2448334,0.3289187147,0.3289187147,0.0000035012,0.0000035012,356,356
O_AM_148,overhead,am,am,,,148,148,0.2430129333,0.2430129333,0.3287057245,0.3287057245,0.0000035036,0.0000035036,357,357
O_AM_150,overhead,am,am,,,150,150,0.239372,0.239372,0.3282840279,0.3282840279,0.0000035083,0.0000035083,360,360
O_AM_228,overhead,am,am,,,228,228,0.1551375636,0.1551375636,0.3151298548,0.3151298548,0.0000036625,0.0000036625,474,474
O_AM_240,overhead,am,am,,,240,240,0.14525,0.14525,0.3135184284,0.3135184284,0.0000036823,0.0000036823,490,490
O_AM_288,overhead,am,am,,,288,288,0.12201,0.12201,0.3077906278,0.3077906278,0.0000037545,0.0000037545,552,552
U_AL_19,underground,al,al,,,19,19,1.6733333333,1.6733333333,0.1330544178,0.1330544178,0.0000233629,0.0000233629,107,107
U_AL_20,underground,al,al,,,20,20,1.5944444444,1.5944444444,0.1319453158,0.1319453158,0.0000235859,0.0000235859,110,110
U_AL_22,underground,al,al,,,22,22,1.4366666667,1.4366666667,0.1299081697,0.1299081697,0.0000240066,0.0000240066,116,116
U_AL_25,underground,al,al,,,25,25,1.2,1.2,0.1272251024,0.1272251024,0.0000245842,0.0000245842,125,125
U_AL_28,underground,al,al,,,28,28,1.1004,1.1004,0.124894529,0.124894529,0.0000251089,0.0000251089,132,132
U_AL_29,underground,al,al,,,29,29,1.0672,1.0672,0.1241821772,0.1241821772,0.0000252738,0.0000252738,135,135
U_AL_33,underground,al,al,,,33,33,0.9344,0.9344,0.1215975746,0.1215975746,0.0000258907,0.0000258907,144,144
U_AL_34,underground,al,al,,,34,34,0.9012,0.9012,0.1210090932,0.1210090932,0.0000260354,0.0000260354,147,147
U_AL_37,underground,al,al,,,37,37,0.8377333333,0.8377333333,0.119360076,0.119360076,0.0000264496,0.0000264496,152,152
U_AL_38,underground,al,al,,,38,38,0.8226,0.8226,0.1188454977,0.1188454977,0.0000265816,0.0000265816,154,154
U_AL_40,underground,al,al,,,40,40,0.7923333333,0.7923333333,0.1178632261,0.1178632261,0.0000268372,0.0000268372,158,158
U_AL_43,underground,al,al,,,43,43,0.7469333333,0.7469333333,0.116495047,0.116495047,0.0000272015,0.0000272015,163,163
U_AL_48,underground,al,al,,,48,48,0.6712666667,0.6712666667,0.1144519385,0.1144519385,0.0000277643,0.0000277643,172,172
U_AL_50,underground,al,al,,,50,50,0.641,0.641,0.113705448,0.113705448,0.0000279758,0.0000279758,175,175
U_AL_54,underground,al,al,,,54,54,0.6014,0.6014,0.112315465,0.112315465,0.0000283783,0.0000283783,183,183
U_AL_55,underground,al,al,,,55,55,0.5915,0.5915,0.1119874251,0.1119874251,0.000028475,0.000028475,185,185
U_AL_59,underground,al,al,,,59,59,0.5519,0.5519,0.1107443314,0.1107443314,0.0000288474,0.0000288474,193,193
U_AL_60,underground,al,al,,,60,60,0.542,0.542,0.1104495588,0.1104495588,0.0000289372,0.0000289372,194,194
U_AL_69,underground,al,al,,,69,69,0.4529,0.4529,0.1080408311,0.1080408311,0.0000296921,0.0000296921,212,212
U_AL_70,underground,al,al,,,70,70,0.443,0.443,0.1077971677,0.1077971677,0.0000297707,0.0000297707,214,214
U_AL_74,underground,al,al,,,74,74,0.42332,0.42332,0.1068637229,0.1068637229,0.0000300755,0.0000300755,220,220
